signal,fragment,Notes,discards
"Little Mix, One Direction, Fifth Harmony, Demi Lovato, Camila Cabello, Selena Gomez, Billie Eilish, Melanie Martinez, BTS, Nicki Minaj, Iggy Azalea,","get-into-fights-on-twitter
twitter-fighting
stan-army-lieutenant",,
"City Girls, Cuban Doll, Kash Doll, Asian Doll, Megan Thee Stallion, Cardi B, Rico Nasty, Saweetie, Mulatto, Trina, ","twerk-skills-on-legendary
real-hot-girl-shit",,
"BTS, BLACKPINK, TWICE, MAMAMOO, Red Velvet, LOONA, Girl's Generation, 2NE1, j-hope, RM, V, SEVENTEEN, EXO","k-pop-aficionado
k-pop-for-breakfast
",,
"Haim, The National, The 1975, King Princess, Maggie Rogers, Caroline Polacheck, Phoebe Bridgers, Julien Baker, Boygenius, Lucy Dacus, Better Oblivion Community Center, Big Thief, Soccer Mommy, Mitski, Adrianne Lenker","trendy-middle-part
60-dollar-white-tshirt
succulent-growing-indie-pop
sad-knowledge-worker
sad-in-a-cabin",,
"Sylvan Esso, Bob Dylan, Pheobe Bridgers, Shamir, Bright Eyes, Perfume Genius, Fiona Apple, Noname, Lianne La Havas, Soccer Mommy, Grimes, Leon Bridges, Sharon Van Etten, Dirty Projectors, Tennis, Deerhunter,","love-your-npr-tote
local-talk-radio-bumper-sticker-bitch
ira-glass-in-your-airpods",,
"Alaska Thunderfuck, Bob the Drag Queen, Miss Fame, Adore Delano, Sharon Needles, Blair St. Clair, Shea Coulee, Manila Luzon, Willam, Jinkx Monsoon, Ginger Minj, Violet Chachki, Courtney Act, Jiggly Caliente, Shangela Laquifa","charisma-uniqueness-nerve-and-talent
sashay-away
drag-race-reunion
rupaul-is-god",,
Garth Brooks,chris-gaines-alter-ego,,
"Townes Van Zandt, Gram Parsons, Jason Isbell, Blaze Foley, Guy Clark","crying-in-a-cowboy-hat
weeping-in-your-bourbon",,
Blippi,held-hostage-by-blippi,,
Paris Hilton,"paris-hilton-holdout
the-simple-life-dvd-box-set",,
Creed,scott-stapp,,
"Philip Glass, Steve Reich, Kronos Quartet, Michael Nyman",maximally-pretentious-minimalism,,
John Williams,horny-soundtrack,,
"Sufjan Stevens, Grizzly Bear, Andrew Bird, Perfume Genius, Dirty Projectors, Animal Collective, Yo La Tengo, The Mountain Goats","masters-in-creative-writing
please-read-my-manuscript",,
Prince,"paisley-park
artist-formerly-known-as",,
Barbara Streisand,babs-is-queen,,
Kenny Rogers,kenny-rogers-roasters,,
Bob Marley,stoned-in-tenth-grade-english,,
Bee Gees,"tight-pants
falsetto-disco",,
John Denver,sunshine-on-my-shoulders,,
The 1975,has-a-1975-lyric-tattoo,,
Catfish and the Bottlemen,the-kooks-were-the-first-band-you-loved,,
